method,time,quantity,target_left,target_right,pairwise_rms,checkpoint_step
early_all_negative_identification,0.8125,state_type_logit,0,1,0.0846252292394638,200
early_all_negative_identification,0.8125,state_fractional_coordinate,0,1,0.05104849860072136,200
early_all_negative_identification,0.8125,state_lattice_log,0,1,0.26962170004844666,200
early_all_negative_identification,0.8125,velocity_type_logit,0,1,0.09743739664554596,200
early_all_negative_identification,0.8125,velocity_fractional_coordinate,0,1,0.029753202572464943,200
early_all_negative_identification,0.8125,velocity_lattice_log,0,1,0.30812621116638184,200
early_all_negative_identification,0.875,state_type_logit,0,1,0.09061996638774872,200
early_all_negative_identification,0.875,state_fractional_coordinate,0,1,0.052868831902742386,200
early_all_negative_identification,0.875,state_lattice_log,0,1,0.28883126378059387,200
early_all_negative_identification,0.875,velocity_type_logit,0,1,0.09674467146396637,200
early_all_negative_identification,0.875,velocity_fractional_coordinate,0,1,0.026546498760581017,200
early_all_negative_identification,0.875,velocity_lattice_log,0,1,0.3060230314731598,200
early_all_negative_identification,0.9375,state_type_logit,0,1,0.0965680181980133,200
early_all_negative_identification,0.9375,state_fractional_coordinate,0,1,0.05448933318257332,200
early_all_negative_identification,0.9375,state_lattice_log,0,1,0.3079082667827606,200
early_all_negative_identification,0.9375,velocity_type_logit,0,1,0.09609729051589966,200
early_all_negative_identification,0.9375,velocity_fractional_coordinate,0,1,0.02358490787446499,200
early_all_negative_identification,0.9375,velocity_lattice_log,0,1,0.3041735589504242,200
early_all_negative_identification,1.0,state_type_logit,0,1,0.10247224569320679,200
early_all_negative_identification,1.0,state_fractional_coordinate,0,1,0.05592396482825279,200
early_all_negative_identification,1.0,state_lattice_log,0,1,0.3268686830997467,200
early_all_negative_identification,0.0,state_type_logit,0,1,0.0,400
early_all_negative_identification,0.0,state_fractional_coordinate,0,1,0.0,400
early_all_negative_identification,0.0,state_lattice_log,0,1,0.0,400
early_all_negative_identification,0.0,velocity_type_logit,0,1,0.09347260743379593,400
early_all_negative_identification,0.0,velocity_fractional_coordinate,0,1,0.05472102016210556,400
early_all_negative_identification,0.0,velocity_lattice_log,0,1,0.26632118225097656,400
early_all_negative_identification,0.0625,state_type_logit,0,1,0.005842038430273533,400
early_all_negative_identification,0.0625,state_fractional_coordinate,0,1,0.003420064691454172,400
early_all_negative_identification,0.0625,state_lattice_log,0,1,0.016645079478621483,400
early_all_negative_identification,0.0625,velocity_type_logit,0,1,0.09036752581596375,400
early_all_negative_identification,0.0625,velocity_fractional_coordinate,0,1,0.047838032245635986,400
early_all_negative_identification,0.0625,velocity_lattice_log,0,1,0.2620430588722229,400
early_all_negative_identification,0.125,state_type_logit,0,1,0.011488230898976326,400
early_all_negative_identification,0.125,state_fractional_coordinate,0,1,0.006408129818737507,400
early_all_negative_identification,0.125,state_lattice_log,0,1,0.03302254527807236,400
early_all_negative_identification,0.125,velocity_type_logit,0,1,0.08752062916755676,400
early_all_negative_identification,0.125,velocity_fractional_coordinate,0,1,0.04151814058423042,400
early_all_negative_identification,0.125,velocity_lattice_log,0,1,0.2579692304134369,400
early_all_negative_identification,0.1875,state_type_logit,0,1,0.01695309765636921,400
early_all_negative_identification,0.1875,state_fractional_coordinate,0,1,0.00899739470332861,400
early_all_negative_identification,0.1875,state_lattice_log,0,1,0.04914495348930359,400
early_all_negative_identification,0.1875,velocity_type_logit,0,1,0.0849224328994751,400
early_all_negative_identification,0.1875,velocity_fractional_coordinate,0,1,0.03574172779917717,400
early_all_negative_identification,0.1875,velocity_lattice_log,0,1,0.254129022359848,400
early_all_negative_identification,0.25,state_type_logit,0,1,0.022250795736908913,400
early_all_negative_identification,0.25,state_fractional_coordinate,0,1,0.011219440959393978,400
early_all_negative_identification,0.25,state_lattice_log,0,1,0.06502678990364075,400
early_all_negative_identification,0.25,velocity_type_logit,0,1,0.08256097137928009,400
early_all_negative_identification,0.25,velocity_fractional_coordinate,0,1,0.030498480424284935,400
early_all_negative_identification,0.25,velocity_lattice_log,0,1,0.25054678320884705,400
early_all_negative_identification,0.3125,state_type_logit,0,1,0.027395056560635567,400
early_all_negative_identification,0.3125,state_fractional_coordinate,0,1,0.013104432262480259,400
early_all_negative_identification,0.3125,state_lattice_log,0,1,0.08068404346704483,400
early_all_negative_identification,0.3125,velocity_type_logit,0,1,0.08041970431804657,400
