method,time,quantity,pairwise_rms_mean,pairwise_rms_std
raw_tensor,0.375,velocity_type_logit,0.07727387956609684,0.027842049301316157
raw_tensor,0.5,state_fractional_coordinate,0.012216892396931403,0.008093485657628774
raw_tensor,0.5,state_lattice_log,0.15552365221083164,0.08619223930334004
raw_tensor,0.5,state_type_logit,0.04393885575700551,0.015603826508854135
raw_tensor,0.5,velocity_fractional_coordinate,0.01236515206151775,0.0076687537788442135
raw_tensor,0.5,velocity_lattice_log,0.30522717874763267,0.17196483774737403
raw_tensor,0.5,velocity_type_logit,0.07180527637579612,0.02613021179207986
raw_tensor,0.625,state_fractional_coordinate,0.013612451277107798,0.008921819148615895
raw_tensor,0.625,state_lattice_log,0.19365430430376104,0.10766958373774793
raw_tensor,0.625,state_type_logit,0.05281197652220726,0.01882581139492713
raw_tensor,0.625,velocity_fractional_coordinate,0.01564308045531756,0.008924600785336268
raw_tensor,0.625,velocity_lattice_log,0.3028708930526461,0.17148365222028
raw_tensor,0.625,velocity_type_logit,0.06711715556282018,0.024686565857051056
raw_tensor,0.75,state_fractional_coordinate,0.01537013563211076,0.009770028123372135
raw_tensor,0.75,state_lattice_log,0.23148297491882527,0.1290814210695947
raw_tensor,0.75,state_type_logit,0.061063249429155676,0.02185023408008543
raw_tensor,0.75,velocity_fractional_coordinate,0.0159906883990126,0.008703160442599781
raw_tensor,0.75,velocity_lattice_log,0.3005288119560906,0.17090633679113096
raw_tensor,0.75,velocity_type_logit,0.06307302328890987,0.023464120632905216
raw_tensor,0.875,state_fractional_coordinate,0.017134976997372826,0.010661844849145685
raw_tensor,0.875,state_lattice_log,0.26901146470169934,0.15041579901976185
raw_tensor,0.875,state_type_logit,0.06877304643525609,0.024704025517577506
raw_tensor,0.875,velocity_fractional_coordinate,0.016303746304142157,0.009496903357372095
raw_tensor,0.875,velocity_lattice_log,0.29820973785328014,0.17025579704822635
raw_tensor,0.875,velocity_type_logit,0.059562540879206996,0.022423655368406143
raw_tensor,1.0,state_fractional_coordinate,0.01880020968383178,0.011727569542475362
raw_tensor,1.0,state_lattice_log,0.3062427788307624,0.17166362306846614
raw_tensor,1.0,state_type_logit,0.07600900224809136,0.027409889581166327
stabilizer_pooling,0.0,state_fractional_coordinate,0.0,0.0
stabilizer_pooling,0.0,state_lattice_log,0.0,0.0
stabilizer_pooling,0.0,state_type_logit,0.0,0.0
stabilizer_pooling,0.0,velocity_fractional_coordinate,0.026839833814717298,0.01443163606739859
stabilizer_pooling,0.0,velocity_lattice_log,0.34489624149033,0.19135821800254682
stabilizer_pooling,0.0,velocity_type_logit,0.09175685972773603,0.03363304652140107
stabilizer_pooling,0.125,state_fractional_coordinate,0.0033549767810784814,0.0018039528563836935
stabilizer_pooling,0.125,state_lattice_log,0.04311202900550727,0.02391977379120381
stabilizer_pooling,0.125,state_type_logit,0.011469608214351215,0.004204131113967718
stabilizer_pooling,0.125,velocity_fractional_coordinate,0.023249469181921865,0.012771729263165853
stabilizer_pooling,0.125,velocity_lattice_log,0.340585562666612,0.18950677105069835
stabilizer_pooling,0.125,velocity_type_logit,0.0837591398906495,0.030755998143171367
stabilizer_pooling,0.25,state_fractional_coordinate,0.00625818303628226,0.0033954730521281486
stabilizer_pooling,0.25,state_lattice_log,0.08568345273046621,0.04760598141687317
stabilizer_pooling,0.25,state_type_logit,0.021924032430563654,0.008041445671248456
stabilizer_pooling,0.25,velocity_fractional_coordinate,0.019967300875578076,0.013346270782065265
stabilizer_pooling,0.25,velocity_lattice_log,0.3343882583347814,0.18754936882371442
stabilizer_pooling,0.25,velocity_type_logit,0.07718730744506631,0.028607950276459314
stabilizer_pooling,0.375,state_fractional_coordinate,0.008391128175259967,0.004554697045446148
stabilizer_pooling,0.375,state_lattice_log,0.12747609468975238,0.07103683369392116
stabilizer_pooling,0.375,state_type_logit,0.03152283246163279,0.011595527099411597
stabilizer_pooling,0.375,velocity_fractional_coordinate,0.01751514312179227,0.011753531014261813
stabilizer_pooling,0.375,velocity_lattice_log,0.330343092525644,0.185610437309863
stabilizer_pooling,0.375,velocity_type_logit,0.07165110300827239,0.026686084721753826
stabilizer_pooling,0.5,state_fractional_coordinate,0.010375685170791777,0.005747693042375304
stabilizer_pooling,0.5,state_lattice_log,0.16875940348420823,0.09422255622691533
stabilizer_pooling,0.5,state_type_logit,0.040400867915845344,0.01489615376961556
stabilizer_pooling,0.5,velocity_fractional_coordinate,0.015235267251097997,0.010247810328025141
stabilizer_pooling,0.5,velocity_lattice_log,0.3267389229897942,0.18379474292091078
stabilizer_pooling,0.5,velocity_type_logit,0.06700794375501573,0.025111489937706524
stabilizer_pooling,0.625,state_fractional_coordinate,0.012141617347619362,0.00685365185622332
stabilizer_pooling,0.625,state_lattice_log,0.20958748147157685,0.11717771169089225
stabilizer_pooling,0.625,state_type_logit,0.048663871828466654,0.017984468411716595
stabilizer_pooling,0.625,velocity_fractional_coordinate,0.022176320635480806,0.011560907746418608
stabilizer_pooling,0.625,velocity_lattice_log,0.3276883991701262,0.18261743175556414
stabilizer_pooling,0.625,velocity_type_logit,0.06346582644619048,0.023736676675825494
stabilizer_pooling,0.75,state_fractional_coordinate,0.014460168953519315,0.007831545543465514
stabilizer_pooling,0.75,state_lattice_log,0.2505319006741047,0.13998546741348325
stabilizer_pooling,0.75,state_type_logit,0.056449058964582424,0.02088425284521814
stabilizer_pooling,0.75,velocity_fractional_coordinate,0.024145384797260964,0.012010011290880347
stabilizer_pooling,0.75,velocity_lattice_log,0.3235702331044844,0.18090769580400834
stabilizer_pooling,0.75,velocity_type_logit,0.05999892517658217,0.02273422252429016
stabilizer_pooling,0.875,state_fractional_coordinate,0.016976292793905095,0.009011834387571867
stabilizer_pooling,0.875,state_lattice_log,0.2909586607877697,0.1625716338525604
stabilizer_pooling,0.875,state_type_logit,0.06376567120397729,0.02364228811464881
stabilizer_pooling,0.875,velocity_fractional_coordinate,0.01968011463759467,0.009813558487076528
stabilizer_pooling,0.875,velocity_lattice_log,0.3222884816516723,0.18224226431863644
stabilizer_pooling,0.875,velocity_type_logit,0.05668733681419066,0.02204457642895652
stabilizer_pooling,1.0,state_fractional_coordinate,0.01884158536891586,0.009979856488062605
stabilizer_pooling,1.0,state_lattice_log,0.3312172553102885,0.18533125652483642
stabilizer_pooling,1.0,state_type_logit,0.07064032135531306,0.02630019926405137
