method,time,target,own_velocity_error,shuffled_velocity_error,own_target_margin,own_target_win,condition_velocity_shift_rms,checkpoint_step
residual_field,0.625,1,1.7894563674926758,2.8275222778320312,1.0380659103393555,True,1.0504823923110962,400
residual_field,0.625,2,1.3532707691192627,2.0327436923980713,0.6794729232788086,True,1.0803241729736328,400
residual_field,0.625,3,1.822548270225525,1.7117805480957031,-0.11076772212982178,False,0.14043119549751282,400
residual_field,0.625,4,1.8593261241912842,1.8292553424835205,-0.030070781707763672,False,0.10653018206357956,400
residual_field,0.625,5,2.164299249649048,2.4806783199310303,0.3163790702819824,True,0.23281380534172058,400
residual_field,0.625,6,1.6486024856567383,1.5588586330413818,-0.08974385261535645,False,0.08747243136167526,400
residual_field,0.625,7,1.9041199684143066,1.9152138233184814,0.011093854904174805,True,0.12042791396379471,400
residual_field,0.75,0,1.5463006496429443,1.768296718597412,0.22199606895446777,True,0.5538569688796997,400
residual_field,0.75,1,1.1407536268234253,1.528881549835205,0.3881279230117798,True,0.8774842619895935,400
residual_field,0.75,2,1.8375537395477295,3.6072092056274414,1.769655466079712,True,0.899881899356842,400
residual_field,0.75,3,2.0670924186706543,2.0190958976745605,-0.04799652099609375,False,0.12906543910503387,400
residual_field,0.75,4,1.8879430294036865,1.8643252849578857,-0.02361774444580078,False,0.1235516294836998,400
residual_field,0.75,5,2.7036566734313965,2.5941810607910156,-0.10947561264038086,False,0.2488097846508026,400
residual_field,0.75,6,2.1473865509033203,2.2199082374572754,0.07252168655395508,True,0.0752214565873146,400
residual_field,0.75,7,1.8794437646865845,2.0209102630615234,0.14146649837493896,True,0.10943444073200226,400
residual_field,0.875,0,1.7960143089294434,1.985543966293335,0.1895296573638916,True,0.3799888491630554,400
residual_field,0.875,1,1.8398761749267578,2.4310619831085205,0.5911858081817627,True,0.5919108986854553,400
residual_field,0.875,2,1.8314368724822998,1.9932458400726318,0.16180896759033203,True,0.6578109264373779,400
residual_field,0.875,3,2.6174774169921875,2.5068695545196533,-0.11060786247253418,False,0.09367240965366364,400
residual_field,0.875,4,4.932746887207031,5.145106315612793,0.21235942840576172,True,0.10219265520572662,400
residual_field,0.875,5,1.3458259105682373,1.4515047073364258,0.10567879676818848,True,0.1515890657901764,400
residual_field,0.875,6,1.7663743495941162,1.761440634727478,-0.004933714866638184,False,0.051133036613464355,400
residual_field,0.875,7,1.5382015705108643,1.5430142879486084,0.004812717437744141,True,0.07987872511148453,400
residual_field,1.0,0,2.544173240661621,2.623432159423828,0.07925891876220703,True,0.16399328410625458,400
residual_field,1.0,1,1.656674861907959,1.6592962741851807,0.0026214122772216797,True,0.2668995261192322,400
residual_field,1.0,2,1.9347541332244873,1.933255910873413,-0.0014982223510742188,False,0.2832932472229004,400
residual_field,1.0,3,2.378592014312744,2.3847455978393555,0.006153583526611328,True,0.04021332412958145,400
residual_field,1.0,4,1.8676674365997314,1.8521009683609009,-0.015566468238830566,False,0.03890007734298706,400
residual_field,1.0,5,2.575587511062622,2.553626775741577,-0.021960735321044922,False,0.06609322130680084,400
