time,representation,source_left,source_right,representation_distance,target_distance,lift_difference,exact_representation_collision
0.09375,wrapped_torus,14,15,2.8687259705158024,0.3363997787961278,6.352138865832771e-08,False
0.09375,wrapped_torus,14,23,2.917352274932224,0.7044017126931641,1.2247448379330352,False
0.09375,wrapped_torus,14,32,2.90396954692924,1.116365873643695,1.5811388065233882,False
0.09375,wrapped_torus,17,58,2.7281378700222922,0.9159123181651257,1.3228756330038602,False
0.09375,wrapped_torus,18,59,2.9138587205086828,0.5671814279348625,1.732050831227649,False
0.09375,wrapped_torus,18,62,2.6743772103144927,0.4317317246796379,1.4142135676414527,False
0.09375,wrapped_torus,21,35,2.815451809782737,1.045788817710492,2.1794494273290477,False
0.09375,wrapped_torus,22,46,2.6444506809850195,0.6923084392218394,0.866025427443211,False
0.09375,wrapped_torus,26,61,2.628437894496313,0.41405253658690244,1.4142135729098075,False
0.09375,wrapped_torus,32,49,2.830814526831501,0.7042238474183449,1.6583123951777035,False
0.09375,wrapped_torus,40,50,2.933439938137684,0.6399774016774504,1.2247448044744798,False
0.09375,wrapped_torus,45,50,2.762184571338215,0.9100430646177182,1.5811387829625816,False
0.09375,wrapped_torus,49,54,2.0639341119943873,0.7751790340740842,1.5811387829625838,False
0.09375,wrapped_torus,52,53,2.89173191282849,1.1138865549776056,1.6583123861919642,False
0.09375,wrapped_torus,60,63,2.898056485004727,1.1696155725084794,1.9364916557901248,False
0.09375,production_input,0,25,4.169370781951293,0.8749701439181244,1.5811387876747434,False
0.09375,production_input,0,27,4.064913967646747,0.8552730214138307,1.5000000161429252,False
0.09375,production_input,4,50,4.3048511893057855,1.016826102050613,1.9364916423240035,False
0.09375,production_input,6,42,3.891889491276724,1.3854102304671405,2.1794494649332163,False
0.09375,production_input,8,56,4.135209339809944,0.6629505868032399,1.6583123996705724,False
0.09375,production_input,9,45,3.321396997617371,0.7641478380238843,1.322875655532298,False
0.09375,production_input,13,15,4.263547046759788,0.8720433325383712,1.4999999670932713,False
0.09375,production_input,14,15,4.212853730314914,0.3363997787961278,6.352138865832771e-08,False
0.09375,production_input,15,19,4.194252162966546,0.7450529075654124,7.28815702831862e-08,False
0.09375,production_input,19,34,3.9529939345869627,0.49729521312118535,1.2247448044744838,False
0.09375,production_input,22,46,3.7745111540210887,0.6923084392218394,0.866025427443211,False
0.09375,production_input,25,36,3.8041408205549043,0.9363796549511998,1.2247447862243612,False
0.09375,production_input,26,59,4.240552685907133,1.1503873399676703,2.3452078811030668,False
0.09375,production_input,32,33,4.263537426361396,0.809877122429288,1.4142135202262516,False
0.09375,production_input,35,43,4.273792059078223,0.8726010004931094,1.6583124333670882,False
0.09375,production_input,37,62,4.230571116164921,0.567428332732066,1.224744865308217,False
0.09375,production_input,40,50,4.2349367599995125,0.6399774016774504,1.2247448044744798,False
0.09375,production_input,44,50,4.286183522053995,0.993711244709523,1.6583123322775324,False
