panel,group,value,graphs,decisions,model_nll,empirical_nll,uniform_nll,model_minus_empirical
calibration,element_token,66,1813,1813,3.191671461245005,3.5014116405765043,4.005121797128089,-0.30974017933149955
calibration,element_token,67,1688,1688,3.3004894343544664,3.50831547871314,3.984532393778007,-0.2078260443586735
calibration,element_token,68,1699,1699,3.24056015939415,3.457962987225368,3.9659841342235898,-0.21740282783121745
calibration,element_token,69,163,163,5.214997097027083,5.577311104632756,4.042370148317093,-0.36231400760567334
calibration,element_token,70,405,405,3.9350341818950794,4.08549849074349,3.7369872769228354,-0.15046430884841033
calibration,element_token,71,550,550,4.16914942372929,4.605812124971192,4.079369702420815,-0.43666270124190265
calibration,element_token,72,373,373,4.109069226094928,4.841963890604161,4.007283221854073,-0.7328946645092325
calibration,element_token,73,239,239,4.104070410568844,5.136410631312933,3.913619726301166,-1.0323402207440886
calibration,element_token,74,192,192,4.47418394125998,5.392426117756031,3.9116828361597586,-0.9182421764960506
calibration,element_token,75,451,451,3.6993558853534267,4.468738997495248,3.831469280043446,-0.7693831121418209
calibration,element_token,76,1097,1097,3.344221932570719,3.7828115743290636,3.9192213063964716,-0.43858964175834436
calibration,element_token,77,1395,1395,3.2251312116995505,3.494610089390953,3.977210266261011,-0.2694788776914021
calibration,element_token,78,1737,1737,3.325588158272297,3.381807977108863,3.9296459938647113,-0.05621981883656662
calibration,element_token,79,2020,2020,3.091446087029901,3.235152982858089,3.8171690408030776,-0.14370689582818785
calibration,element_token,80,2329,2329,2.8777123284300234,3.018038800172044,3.7835277141356682,-0.14032647174202084
calibration,element_token,81,1312,1312,3.4568975885716697,3.37973767198776,3.5990924890739118,0.07715991658390961
calibration,element_token,82,1021,1021,3.504673631283492,3.6864833384024145,3.725742403019118,-0.18180970711892258
test,node_count_N,2,94,181,3.8578777504230732,3.902152493112191,4.068389336904049,-0.04427474268911806
test,node_count_N,4,5523,17731,3.3704908648764755,3.664948496000314,3.953736535215846,-0.29445763112383866
test,node_count_N,5,1520,5270,3.3502190345293883,3.730443274412604,4.124550136118916,-0.3802242398832164
test,node_count_N,6,1440,4361,3.458033034736425,3.7311450467410707,4.20497913417056,-0.2731120120046456
test,node_count_N,7,867,2825,3.375573368884821,3.657893222256038,4.122096437017699,-0.28231985337121723
test,node_count_N,8,2110,6086,3.578370647331699,3.8474531365317004,4.173172206284076,-0.26908248920000155
test,node_count_N,9,1083,3508,3.378709165704359,3.735288052669719,4.238225163389978,-0.3565788869653595
test,node_count_N,10,4122,14537,3.19452504598513,3.6526432032287826,4.2133911678662965,-0.4581181572436526
test,node_count_N,11,1143,3756,3.3453860473486814,3.6325521178509574,4.246097213182714,-0.28716607050227516
test,node_count_N,12,4384,16279,3.08681029775829,3.6245344827541284,4.2177826870481026,-0.5377241849958385
